Date,Artist Name - Headliner,Artist Name - Opener(s),Venue,City/State,Festival,Attended With,Reference
7/1/2019,Matt Anderson,,Pier 6,"Baltimore, MD",No,,
8/1/2019,Chris Stapleton,,Merriweather Post Pav.,"Columbia, MD",No,"Taylor, Chimber",
8/29/2019,Tab Benoit,,Baltimore Soundstage,"Baltimore, MD",No,,
9/24/2019,Cerebral Rot,"Fetid, Noisem, Left Cross",Atlas Brew Works,"Washington, DC",No,,
10/1/2019,1349,Uada,Baltimore Soundstage,"Baltimore, MD",No,,
10/22/2019,Obituary,"Abbath, Midnight",Baltimore Soundstage,"Baltimore, MD",No,,
11/1/2019,Nile,Terrorizer,Baltimore Soundstage,"Baltimore, MD",No,,
11/1/2019,Integrity,"Enforced, Ilsa",Sidebar,"Baltimore, MD",No,,
11/1/2019,William Elliott Whitmore,,Black Cat,"Washington, DC",No,,
1/1/2020,Machine Head,(Burn My Eyes Set),The Fillmore,"Silver Spring, MD",No,,
3/1/2022,Crowbar,,Lost Horizon,"Syracuse, NY",No,Adam,
5/26/2022 – 5/29/2022,MDF XVIII,"Carcass, Dismember, Hypocrisy, Autopsy, Deicide, Massacre, Immolation, Monstrosity",Edison Lot / Rams Head,"Baltimore, MD",Yes (MDF XVIII),,
6/1/2022,Carnivore A.D.,,Sharkey's,"Liverpool, NY",No,,
8/1/2022,Goatwhore,Incantation,Lost Horizon,"Syracuse, NY",No,,
8/13/2022,Alice in Chains,Breaking Benjamin,St. Joseph's Amp,"Syracuse, NY",No,Adam,
9/1/2022,Dying Fetus,,Song & Dance,"Syracuse, NY",No,,
9/20/2022,Megadeth,,St. Joseph's Amp,"Syracuse, NY",No,,
10/13/2022,Max & Iggor Cavalera,,Westcott Theater,"Syracuse, NY",No,Adam,
2/1/2023,Soulfly,,Lost Horizon,"Syracuse, NY",No,,
4/1/2023,William Elliott Whitmore,,Club 443,"Syracuse, NY",No,"Taylor, Adam",
4/13/2023,Morbid Angel,"Revocation, Crypta",Montage Music Hall,"Rochester, NY",No,,
6/11/2023,Chris Stapleton,,St. Joseph's Amp,"Syracuse, NY",No,Taylor,
8/1/2023,Pantera,Lamb of God,St. Joseph's Amp,"Syracuse, NY",No,Adam,
8/1/2023,Ghost,Amon Amarth,St. Joseph's Amp,"Syracuse, NY",No,Adam,
9/20/2023,Crowbar,Primitive Man,Song & Dance,"Syracuse, NY",No,,
11/1/2023,Goatwhore,Withered,Song & Dance,"Syracuse, NY",No,,
11/1/2023,Dying Fetus,,Water Street Music Hall,"Rochester, NY",No,,
11/20/2023,Ulcerate,Altars,Lost Horizon,"Syracuse, NY",No,,
2/15/2024,Go Ahead And Die,Primitive Man,Song & Dance,"Syracuse, NY",No,,
4/1/2024,Dying Fetus,"Full of Hell, 200 Stab Wounds",Song & Dance,"Syracuse, NY",No,,
5/1/2024,Cattle Decapitation,Carnifex,Sharkey's,"Liverpool, NY",No,,
5/1/2024,Internal Bleeding,"Cenotaph, Mutilatred",Lost Horizon,"Syracuse, NY",No,,
5/23/2024 – 5/26/2024,MDF XIX,"Avulsed, Soilent Green, Dismember, Haemorrhage, Severe Torture, Skinless",Market St / Soundstage,"Baltimore, MD",Yes (MDF XIX),,
7/1/2024,Frozen Soul,Creeping Death,Song & Dance,"Syracuse, NY",No,,
8/1/2024,Sulaco,Order of the Dead,Lost Horizon,"Syracuse, NY",No,,
8/1/2024,Jackyl,,NYS Fair,"Syracuse, NY",No,,
9/1/2024,William Elliott Whitmore,,Club 443,"Syracuse, NY",No,"Taylor, Adam",
9/16/2024,Alice Cooper,"Ministry, Filter",St. Joseph's Amp,"Syracuse, NY",No,Adam,
9/22/2024,Goatwhore,"Vitriol, Necrofier",Song & Dance,"Syracuse, NY",No,,
1/22/2025,Six Feet Under,Psycroptic,Montage Music Hall,"Rochester, NY",No,,
3/21/2025,Dirtwire,,Westcott Theater,"Syracuse, NY",No,Taylor,
3/22/2025,Malignancy,Concrete,The Jugg,"Syracuse, NY",No,,
3/25/2025,Hendrix Tribute,"Kenny Wayne Shepherd, Duane Allman",Landmark Theatre,"Syracuse, NY",No,"Dad, Adam, Taylor",
4/19/2025,Metallica,"Pantera, Suicidal Tendencies",JMA Wireless Dome,"Syracuse, NY",No,Adam,
5/9/2025,Emperor,Wolves in the Throne Room,The Palladium,"Worcester, MA",No,Taylor,
5/22/2025 – 5/25/2025,MDF XX,"Obituary, Asphyx, Benediction, LIK, Gorgasm, Paradise Lost, hulder",Downtown Venues,"Baltimore, MD",Yes (MDF XX),,
8/25/2025,Mortician,Deteriorot,Lost Horizon,"Syracuse, NY",No,,
9/13/2025,Acid Bath,"High on Fire, Windhand",Sharkey's Event Center,"Liverpool, NY",No,,
9/20/2025,Slayer,"Pantera, Cavalera, Exodus",Hersheypark Stadium,"Hershey, PA",No,Adam,
10/17/2025,Beheaded,"Dripping, Incinerate",Lost Horizon,"Syracuse, NY",No,,
10/25/2025,Vader,"Kataklysm, Malevolent Creation",Lost Horizon,"Syracuse, NY",No,,
11/26/2025,Krisiun,"Abysmal Dawn, Pyrexia",Lost Horizon,"Syracuse, NY",No,,
